Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0347877,1.86022,3295.47,2025.44,265.003,-32.1972,8.24854,7.32518,-3.49803,-1,0.888058,86.9076,0.0135205
0,0.0330985,1.1284,3325.25,2371.62,265.242,-32.2105,8.93602,7.83327,-3.31892,-1,0.876595,-84.3397,0.0268876
0,0.0302965,1.1395,3410.97,2266.12,265.179,-32.1516,8.8931,7.63254,-3.29721,-1,0.858254,87.3095,0.0254471
0,0.0305654,1.14151,3210.72,2099.85,265.045,-32.2529,8.79241,7.62874,-3.28676,-1,0.867651,84.7252,0.0246344
0,0.0340418,1.74927,3072.4,1916.74,264.905,-32.3166,7.50414,6.39315,-3.21166,-1,0.85195,83.0188,0.0117327
0,0.0300114,1.11025,3533.73,2581,265.407,-32.1078,7.64182,6.18044,-2.89968,-1,0.808766,86.0507,0.0211555
0,0.0302493,1.10659,2883.99,2078.47,264.996,-32.4399,7.04479,5.75125,-2.7423,-1,0.816384,83.1202,0.0151611
0,0.0297685,1.05485,3365.59,2022.02,265.008,-32.1563,6.94764,5.57073,-2.6491,-1,0.801816,82.7907,0.014624
0,0.0297722,1.0709,3207.78,2164.29,265.088,-32.2603,6.66487,5.34594,-2.58226,-1,0.802107,83.8631,0.0131734
0,0.0303444,0.702403,3068.02,2116.11,265.041,-32.3369,4.17695,3.75394,-2.41565,-1,0.898729,89.8048,0.0661579
0,0.0292588,1.02993,3115.75,2276.47,265.155,-32.3234,5.90892,4.66251,-2.29485,-1,0.789063,84.5341,0.0110632
0,0.0313372,0.883426,2993.32,2026.12,264.971,-32.3721,7.33331,5.97433,-2.28288,-1,0.814685,88.5033,0.0250091
0,0.0302154,0.987782,3349.39,2131.57,265.081,-32.1754,6.14468,4.61637,-2.28284,-1,0.751278,78.2476,0.0108477
0,0.0293929,1.03453,3300.83,2325.25,265.208,-32.2206,5.76177,4.6047,-2.26331,-1,0.79918,86.1055,0.00827194
0,0.0291916,0.981231,3325.9,2205.5,265.129,-32.1955,4.96211,4.9621,-2.14293,-1,0.999997,-21.5911,0.0129695
0,0.0293318,0.997953,3094.51,2117.97,265.045,-32.3217,4.82141,4.8214,-2.10506,-1,0.999998,-15.9825,0.0108155
0,0.0290089,0.949584,3419.21,2364.67,265.247,-32.1554,4.79924,4.79924,-2.05057,-1,1,-3.87816,0.0109699
0,0.0288995,0.92505,3335.15,1974.46,264.972,-32.1697,4.78978,4.78976,-2.02286,-1,0.999995,3.72141,0.0110348
0,0.0289424,0.94918,3352.02,2253.95,265.165,-32.1847,5.0834,4.13164,-1.96572,-1,0.812771,84.6218,0.00665522
0,0.0359442,0.933875,3282.11,2290.76,265.183,-32.2284,5.09515,4.06683,-1.93876,-1,0.798178,85.6672,0.0321754
0,0.0286402,0.83302,3014.27,1886.59,264.878,-32.3475,5.44923,4.15518,-1.91578,-1,0.762526,71.4662,0.00558813
0,0.028646,0.875819,3111,1932.95,264.92,-32.2957,4.91205,4.04443,-1.84357,-1,0.823369,83.9567,0.00635774
0,0.028574,0.857695,3564.12,1938.73,264.972,-32.0338,4.98855,4.06306,-1.84282,-1,0.814478,84.772,0.00615722
0,0.0276566,0.498136,3119.47,2187.03,265.095,-32.3134,7.16026,6.96711,-1.74042,-1,0.973024,-84.2533,0.0289678
0,0.0292013,0.678282,3255.22,1834.73,264.868,-32.2035,3.28125,3.28092,-1.72364,-1,0.9999,89.6425,0.0409739
0,0.0280202,0.691046,3386.47,2337.86,265.226,-32.1721,5.04572,4.16101,-1.68521,-1,0.824661,84.4318,0.00483034
0,0.0306696,0.71944,3146.42,2142.72,265.067,-32.2939,4.92404,4.04944,-1.67553,-1,0.822383,84.2734,0.0096977
0,0.0306978,0.615649,3224.52,2449.79,265.285,-32.2756,3.86338,3.39791,-1.66124,-1,0.879517,-78.6209,0.0361314
0,0.0259629,0.314071,2732.71,2466.97,265.246,-32.5615,8.91849,6.87482,-1.61288,-1,0.77085,-27.7379,0.0261668
0,0.0281213,0.609439,3574.71,2630.78,265.445,-32.0883,5.10166,4.17979,-1.59214,-1,0.819301,89.3227,0.00459852
0,0.0322794,0.614669,3051.48,2068.83,265.007,-32.3423,3.31863,2.95955,-1.57992,-1,0.891799,-78.342,0.042713
0,0.0282195,0.675996,2740.53,1625.09,264.671,-32.482,4.6857,3.98882,-1.56872,-1,0.851275,84.8641,0.00465175
0,0.0236714,0.22973,3205.75,2417.13,265.261,-32.2837,10.5038,5.39233,-1.55437,-1,0.513372,81.7816,0.019913
0,0.028167,0.595657,3130.43,2001.64,264.969,-32.2906,4.97323,4.09691,-1.53542,-1,0.823793,82.4803,0.00449861
0,0.0279318,0.541649,2761.32,2242.53,265.095,-32.5253,4.79636,4.39641,-1.4859,-1,0.916614,-87.7339,0.00389119
0,0.0249568,0.294169,3067.41,2572.14,265.352,-32.3772,8.22582,5.08901,-1.4846,-1,0.618664,-89.0027,0.0130165
0,0.0282089,0.566762,3376.92,2083.59,265.051,-32.1552,5.37542,4.7948,-1.47164,-1,0.891986,10.3549,0.0146727
0,0.0270414,0.369166,3628.49,2131.13,265.11,-32.0135,7.08723,6.92822,-1.46476,-1,0.977564,-0.453805,0.021476
0,0.0278916,0.527308,2980.88,2169.41,265.068,-32.392,4.45331,4.45318,-1.41551,-1,0.999971,5.0215,0.00645314
