Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0407321,1.65621,3325.26,2371.63,265.242,-32.2105,8.48247,8.0305,-3.57646,-1,0.946717,-62.1979,0.0192268
0,0.0352729,1.20156,3295.46,2025.27,265.003,-32.1972,7.93082,7.47087,-3.2117,-1,0.942005,-79.3874,0.0247189
0,0.0345711,1.17829,3072.39,1916.62,264.905,-32.3166,6.87616,6.45028,-2.89629,-1,0.938064,-85.6969,0.0205099
0,0.0340711,1.16694,3410.92,2265.95,265.179,-32.1516,6.9428,6.34982,-2.8804,-1,0.91459,-89.3023,0.0197895
0,0.034302,1.18239,3210.7,2099.7,265.045,-32.2529,6.77396,6.41241,-2.87873,-1,0.946627,-80.1203,0.0202623
0,0.03146,1.14464,3533.77,2580.92,265.407,-32.1078,5.71637,5.18857,-2.46784,-1,0.907668,-84.9359,0.0116834
0,0.0325011,1.13249,2884.01,2078.35,264.996,-32.4399,5.31655,4.87603,-2.32744,-1,0.917141,89.7901,0.0103316
0,0.0306658,1.10038,3365.59,2021.98,265.008,-32.1563,5.10468,4.6737,-2.22103,-1,0.915571,-86.0366,0.00796489
0,0.0298414,0.697817,3067.46,2116.02,265.041,-32.3372,7.20476,7.08521,-2.08577,-1,0.983407,-88.721,0.0505366
0,0.0332998,1.00729,3207.8,2164.24,265.088,-32.2603,4.52104,4.10013,-2.08022,-1,0.906899,-63.6276,0.0217233
0,0.0280956,0.486664,3301.05,2325.34,265.208,-32.2205,7.87931,7.67879,-1.94186,-1,0.974551,-75.4918,0.0481336
0,0.0303085,0.8957,3349.38,2131.57,265.081,-32.1754,4.80479,4.06146,-1.84763,-1,0.845294,75.857,0.00660011
0,0.030267,0.699549,3115.52,2276.15,265.155,-32.3235,3.26613,2.97726,-1.83799,-1,0.911556,-66.3716,0.0495405
0,0.0298614,0.89868,3325.89,2205.51,265.129,-32.1955,4.1017,4.1017,-1.72063,-1,0.999998,-19.3094,0.00712824
0,0.0297733,0.891841,3094.52,2117.94,265.045,-32.3217,4.19494,3.84725,-1.6784,-1,0.917116,87.418,0.0062681
0,0.0251967,0.379368,3051.39,2068.52,265.007,-32.3423,7.86432,4.77024,-1.64697,-1,0.606567,-56.8617,0.0227847
0,0.0257706,0.318719,3564.35,1939.2,264.972,-32.0337,9.1407,8.77233,-1.64065,-1,0.959699,-7.84189,0.0403641
0,0.0289704,0.57616,3335.16,1974.51,264.972,-32.1697,5.51468,4.79874,-1.6327,-1,0.870176,-10.2308,0.0183561
0,0.029324,0.829091,3419.23,2364.68,265.247,-32.1554,4.08359,3.88232,-1.60159,-1,0.950711,88.8418,0.00589437
0,0.029116,0.770446,3352.01,2253.93,265.165,-32.1847,4.2311,3.85875,-1.56503,-1,0.911999,89.402,0.00549698
0,0.0287325,0.616049,3014.25,1886.61,264.878,-32.3475,4.7586,4.06824,-1.52111,-1,0.854924,65.0243,0.00420605
0,0.0285596,0.529061,3224.38,2449.47,265.285,-32.2757,5.6744,4.37471,-1.47601,-1,0.770954,-58.7576,0.0118931
0,0.0354578,0.296627,3282.26,2291.06,265.183,-32.2283,2.81099,2.17375,-1.46866,-1,0.773304,-11.1465,0.057547
0,0.0266628,0.481455,2740.5,1625.07,264.671,-32.482,5.75791,4.68501,-1.46412,-1,0.813666,-57.4476,0.0136695
0,0.0278685,0.439689,3255.38,1834.4,264.868,-32.2033,8.05644,5.19188,-1.44109,-1,0.644439,-1.75251,0.0291657
0,0.0284712,0.628313,3110.98,1932.95,264.92,-32.2957,4.17428,3.8477,-1.38732,-1,0.921765,85.5735,0.00447997
0,0.0263032,0.291267,3664.59,2718.71,265.514,-32.0437,7.76078,7.47123,-1.36659,-1,0.962691,-9.22319,0.0255172
0,0.0273955,0.354848,3119.75,2187.08,265.095,-32.3133,6.2971,6.2908,-1.3646,-1,0.999,-83.7209,0.0188474
0,0.0296485,0.548867,3146.43,2142.75,265.067,-32.2939,4.12033,3.87805,-1.27971,-1,0.941198,88.6544,0.00678928
0,0.0287024,0.285288,3386.46,2337.9,265.226,-32.1721,2.90179,2.88775,-1.22633,-1,0.995163,-24.0575,0.0305653
0,0.026679,0.170969,2732.58,2467.02,265.246,-32.5616,9.88669,9.8771,-1.21495,-1,0.99903,-87.7989,0.0274007
0,0.0282446,0.506741,3574.73,2630.8,265.445,-32.0883,4.11457,3.79979,-1.20449,-1,0.923497,-88.4389,0.00399651
0,0.0290397,0.35844,2761.37,2242.84,265.095,-32.5253,3.72449,3.36461,-1.18841,-1,0.903375,-76.2725,0.0198265
0,0.0277052,0.461967,3130.44,2001.66,264.969,-32.2906,4.13402,3.88226,-1.1567,-1,0.939099,85.6483,0.00317164
0,0.0264222,0.266882,3375.22,1737.74,264.815,-32.1252,7.23006,5.05252,-1.15319,-1,0.698821,-26.5149,0.0144025
0,0.0258559,0.247584,3240.12,2081.52,265.035,-32.2342,6.68984,5.25917,-1.12,-1,0.786143,-24.5062,0.0112946
0,0.0273908,0.303448,3377.05,2083.62,265.051,-32.1551,5.81082,4.89894,-1.10538,-1,0.843072,-6.867,0.0103106
0,0.0273184,0.393247,3628.13,2131.1,265.11,-32.0137,4.27218,3.92534,-1.07517,-1,0.918815,-89.737,0.00275549
0,0.0274222,0.404511,2980.9,2169.46,265.068,-32.392,4.19838,3.81349,-1.06298,-1,0.908325,83.9091,0.00277629
0,0.0272086,0.384765,2709.17,2006.15,264.928,-32.5344,4.04785,4.04784,-1.0446,-1,0.999998,3.94397,0.00300718
0,0.0288726,0.241504,3150.49,2004.01,264.973,-32.2792,6.26978,5.83015,-1.03045,-1,0.929882,-29.3818,0.0148949
0,0.0273859,0.314054,3261.68,2042.52,265.011,-32.2183,5.37124,4.6877,-1.02743,-1,0.872742,-67.4197,0.00704407
0,0.0274654,0.337903,2649.49,1927.61,264.868,-32.5618,5.27828,4.7286,-1.02002,-1,0.895859,-65.8291,0.00822348
0,0.0266607,0.239083,3067.5,2572.21,265.353,-32.3771,6.06259,5.13874,-0.99655,-1,0.847615,-81.1694,0.00902168
0,0.0271512,0.339968,3098.87,2386.4,265.229,-32.3428,4.24096,3.80351,-0.953427,-1,0.896849,-89.2518,0.00236051
0,0.0290744,0.319327,3341.71,2120.73,265.073,-32.1789,3.15513,2.84848,-0.950417,-1,0.90281,-62.5005,0.0152717
0,0.0261433,0.129826,3199.08,2291.33,265.174,-32.2765,8.32138,7.9953,-0.940041,-1,0.960814,-75.3328,0.0140529
0,0.0271016,0.325725,3196.34,2059.74,265.016,-32.2577,4.13565,3.91936,-0.929891,-1,0.9477,-88.3413,0.00235613
0,0.0267311,0.195077,3130.53,2246.16,265.136,-32.3122,7.58009,5.30676,-0.876904,-1,0.700092,-85.9896,0.0109344
0,0.0264693,0.148208,3475.52,2448.02,265.31,-32.13,6.23475,6.226,-0.865125,-1,0.998597,-86.8474,0.00883507
0,0.0260876,0.135973,3269.57,2024.57,265,-32.2121,7.70807,7.14057,-0.852284,-1,0.926376,-8.26644,0.0110267
0,0.0267957,0.280398,3450.57,1887.61,264.925,-32.095,4.22287,3.88383,-0.846069,-1,0.919713,-87.5459,0.00192206
0,0.0268871,0.285849,3188.9,2338.52,265.205,-32.2865,4.0092,4.0092,-0.845414,-1,1,-33.5555,0.00225723
0,0.0269885,0.279354,2883.77,2054.96,264.98,-32.438,4.25689,3.8521,-0.843982,-1,0.904911,-89.4456,0.00201541
0,0.0269234,0.28363,3200.88,2136.35,265.069,-32.2618,4.21977,3.82409,-0.84323,-1,0.90623,-88.3601,0.00197651
0,0.0271287,0.292262,3103.83,1915.8,264.908,-32.2983,4.11379,3.80543,-0.843066,-1,0.925041,88.5659,0.0021042
0,0.0270577,0.125496,3251.13,2068.05,265.027,-32.2267,3.53462,3.49939,-0.813996,-1,0.990033,-28.1775,0.016731
0,0.0267307,0.265095,2889.95,2139.78,265.038,-32.4419,4.09583,3.81535,-0.786068,-1,0.931519,84.6539,0.0018875
0,0.0265881,0.190713,3401.14,2695.64,265.471,-32.1945,5.74304,4.9425,-0.775078,-1,0.860606,-17.6533,0.00614469
0,0.0266566,0.253581,3375.66,1773.65,264.84,-32.1282,4.15288,3.83342,-0.77168,-1,0.923075,-88.7238,0.00173009
0,0.0266204,0.235585,3155.83,2366.57,265.221,-32.3081,4.15982,3.81029,-0.729416,-1,0.915974,86.0762,0.00164104
0,0.0266992,0.124635,3285.48,2125.3,265.07,-32.2119,3.81236,2.44025,-0.707437,-1,0.640088,-57.9419,0.011092
0,0.0256718,0.111206,3503.3,2407.35,265.285,-32.1104,8.29246,5.41147,-0.70613,-1,0.652577,-8.83641,0.00754245
0,0.0260592,0.169062,3486.74,2805.6,265.555,-32.1543,5.48179,4.58371,-0.703471,-1,0.83617,-65.5807,0.00429682
0,0.026523,0.211062,3516.76,2344.66,265.244,-32.0971,4.13852,3.79835,-0.668529,-1,0.917803,87.9379,0.00152803
0,0.0265102,0.207461,2952.59,2024.78,264.966,-32.3955,4.11248,3.84523,-0.663321,-1,0.935015,81.4872,0.00147688
0,0.0265102,0.204366,3448.82,2155.75,265.108,-32.1199,4.14131,3.83587,-0.657749,-1,0.926247,87.058,0.00153244
0,0.0269508,0.178713,3377.48,1751.61,264.825,-32.1252,5.68789,4.97157,-0.642931,-1,0.874062,-53.2242,0.00607329
0,0.0265342,0.188483,3276.92,2083.68,265.041,-32.2131,4.19375,3.87759,-0.630096,-1,0.924611,-88.6468,0.00138935
0,0.0266201,0.101411,3317.62,2183.85,265.113,-32.1984,3.72583,3.69557,-0.623163,-1,0.991879,-26.4432,0.00895772
0,0.0261521,0.132592,3349.15,2618.35,265.413,-32.218,8.93463,4.88025,-0.623089,-1,0.546217,-0.588707,0.0096768
0,0.0264355,0.181829,3268.61,2254.61,265.156,-32.233,4.28185,3.86179,-0.6208,-1,0.901898,85.9374,0.00133599
0,0.0264466,0.188044,3202.92,2670.73,265.434,-32.3072,4.08358,3.8324,-0.610924,-1,0.938489,-85.8663,0.00133878
0,0.0261793,0.135677,2668.79,2229.41,265.076,-32.5775,5.27233,4.45872,-0.559899,-1,0.845683,-58.1243,0.00259556
0,0.0262669,0.150771,3483.27,2143.62,265.103,-32.0989,4.18803,3.94456,-0.536398,-1,0.941865,-84.2993,0.00109887
0,0.0262864,0.150994,2996.37,2209.82,265.097,-32.3866,4.20775,3.89983,-0.534284,-1,0.92682,-89.7265,0.00111132
