Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0432416,1.34411,3325.37,2371.65,265.242,-32.2104,13.8812,12.6558,-4.44518,-1,0.911722,-43.3329,0.021142
0,0.0389835,1.30129,3295.45,2025.3,265.003,-32.1972,7.49241,7.02788,-3.13949,-1,0.938,-79.8953,0.0163472
0,0.0380219,1.28594,3072.41,1916.63,264.905,-32.3166,6.38392,5.93408,-2.79516,-1,0.929535,-83.7195,0.014248
0,0.0374258,1.2116,3210.72,2099.7,265.045,-32.2529,6.64539,5.89001,-2.77764,-1,0.886329,-84.759,0.0143911
0,0.0363843,1.13463,3410.95,2266.02,265.179,-32.1516,6.68726,6.10067,-2.76974,-1,0.912282,-87.8206,0.0132643
0,0.0331907,1.04805,3533.75,2580.97,265.407,-32.1078,5.48696,4.99445,-2.31933,-1,0.91024,89.4302,0.0100113
0,0.034409,1.06131,2883.99,2078.41,264.996,-32.4399,4.87037,4.87037,-2.18148,-1,1,-0.953773,0.0119716
0,0.0319936,1.01958,3365.62,2021.99,265.008,-32.1563,4.79514,4.38459,-2.03204,-1,0.914383,-82.6596,0.00927977
0,0.0332671,0.90269,3207.82,2164.32,265.088,-32.2603,5.83852,5.191,-1.96788,-1,0.889095,-72.8024,0.0234585
0,0.0302545,0.40995,3068.47,2116.04,265.041,-32.3366,10.0184,9.96155,-1.87552,-1,0.994328,-88.5562,0.0576621
0,0.0297409,0.534204,3664.41,2718.62,265.514,-32.0438,6.98494,6.88215,-1.86726,-1,0.985285,-8.66852,0.0307362
0,0.0314127,0.757263,2993.21,2026,264.971,-32.3721,4.68581,4.24935,-1.7183,-1,0.906854,-82.6475,0.00798837
0,0.0300332,0.592107,3349.41,2131.57,265.081,-32.1754,5.23672,4.43367,-1.63935,-1,0.84665,78.8554,0.00582558
0,0.0304669,0.646946,3115.78,2276.5,265.155,-32.3234,4.74803,4.35732,-1.61679,-1,0.917711,-88.1554,0.00648532
0,0.0304667,0.634764,3300.84,2325.24,265.208,-32.2206,4.93611,4.57012,-1.59158,-1,0.925854,-74.6109,0.00800385
0,0.028568,0.40113,2709.33,2006.26,264.928,-32.5343,6.2264,5.83945,-1.54958,-1,0.937852,-4.2122,0.0166471
0,0.0301463,0.589043,3325.93,2205.52,265.129,-32.1955,4.47223,4.47204,-1.51127,-1,0.999958,12.686,0.00656392
0,0.0290761,0.576927,3260.16,2090.88,265.044,-32.2235,4.7807,4.27121,-1.51119,-1,0.893428,86.7159,0.00563875
0,0.0286974,0.264212,3476.22,2448.2,265.31,-32.1296,8.75681,8.4125,-1.46199,-1,0.960681,-87.256,0.027686
0,0.0298445,0.56174,3094.52,2117.96,265.045,-32.3217,4.6346,4.2444,-1.45928,-1,0.915807,-89.0281,0.0055991
0,0.0294564,0.511597,3224.4,2449.49,265.285,-32.2757,4.74825,4.35606,-1.4248,-1,0.917403,-87.2816,0.00516411
0,0.0256419,0.246644,3205.72,2417.14,265.261,-32.2837,8.2766,5.91253,-1.42019,-1,0.714367,-45.218,0.014532
0,0.0292575,0.500919,3419.26,2364.71,265.247,-32.1554,4.74913,4.24483,-1.38787,-1,0.893811,87.1497,0.00508404
0,0.0284394,0.492484,3352.03,2253.98,265.165,-32.1847,4.7654,4.27649,-1.38301,-1,0.897405,-87.1168,0.00467224
0,0.0291257,0.427088,2761.3,2242.63,265.095,-32.5253,4.87236,4.64324,-1.35351,-1,0.952976,-52.3476,0.0042792
0,0.0290511,0.413995,3014.26,1886.62,264.878,-32.3475,5.1338,4.46889,-1.34027,-1,0.870484,69.7126,0.00444034
0,0.0289993,0.472333,2740.54,1625.12,264.671,-32.482,4.66769,4.27387,-1.33409,-1,0.915629,-79.7879,0.00464658
0,0.0302558,0.491811,3334.86,1974.4,264.972,-32.1699,2.96893,2.96595,-1.33317,-1,0.998995,-20.0624,0.0266441
0,0.0282162,0.237164,3564.33,1939.05,264.972,-32.0337,7.27112,7.22525,-1.27728,-1,0.993692,-7.38544,0.0181504
0,0.0284231,0.348014,3255.08,1834.22,264.868,-32.2035,5.89742,5.66716,-1.26927,-1,0.960956,-8.52791,0.0112492
0,0.0346192,0.256092,3282.32,2291.13,265.183,-32.2283,7.832,7.74453,-1.26602,-1,0.988833,-6.77709,0.0307359
0,0.0284915,0.406655,3111.01,1932.95,264.92,-32.2957,4.65508,4.28402,-1.22145,-1,0.920288,-85.5051,0.00410331
0,0.0276421,0.203041,3119.92,2187.18,265.095,-32.3132,7.09232,7.04517,-1.17221,-1,0.993352,-82.7002,0.0131657
0,0.0281501,0.347066,3386.5,2337.92,265.226,-32.172,4.47439,4.47438,-1.11103,-1,0.999999,-31.791,0.00372152
0,0.0296594,0.338975,3146.44,2142.77,265.067,-32.2939,4.67978,4.25558,-1.09114,-1,0.909356,-89.0065,0.00588133
0,0.0292661,0.269647,3051.54,2068.86,265.007,-32.3422,3.22513,2.94956,-1.06762,-1,0.914556,-77.34,0.0207385
0,0.0268155,0.118347,3573.59,1923.16,264.962,-32.0269,9.40463,9.40457,-1.03891,-1,0.999994,-84.977,0.0163605
0,0.0281876,0.3119,3574.75,2630.84,265.445,-32.0883,4.62178,4.28814,-1.03144,-1,0.92781,-88.8235,0.0035201
0,0.0279578,0.307807,2883.79,2054.98,264.98,-32.438,4.63734,4.24232,-1.01778,-1,0.914819,-88.0562,0.00316072
