# 2000 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	0	  0.043242	  1.344111	     -1.00	   3325.37	   2371.65	      6.60	      6.02	     13.88	     12.66	43.33	 2.114e-02	     -4.45	Gaussian	0.000000	0.000000
2	0	  0.044631	  1.141612	     -1.00	   1189.80	   3061.69	      6.18	      5.43	     13.00	     11.41	11.39	 2.196e-02	     -4.14	Gaussian	0.000000	0.000000
3	0	  0.046001	  1.232345	     -1.00	   2019.81	   3347.66	      5.52	      5.16	     11.60	     10.84	25.41	 2.264e-02	     -4.02	Gaussian	0.000000	0.000000
4	0	  0.049854	  1.277370	     -1.00	   2345.79	    228.76	      5.83	      4.77	     12.26	     10.03	38.55	 2.559e-02	     -4.01	Gaussian	0.000000	0.000000
5	0	  0.045982	  1.430398	     -1.00	   2704.12	   3418.74	      4.59	      4.43	      9.66	      9.31	70.14	 2.175e-02	     -3.77	Gaussian	0.000000	0.000000
6	0	  0.038984	  1.301293	     -1.00	   3295.45	   2025.30	      3.56	      3.34	      7.49	      7.03	79.90	 1.635e-02	     -3.14	Gaussian	0.000000	0.000000
7	0	  0.040856	  1.440387	     -1.00	   3246.05	    917.07	      3.10	      2.87	      6.53	      6.03	57.88	 1.685e-02	     -2.90	Gaussian	0.000000	0.000000
8	0	  0.038022	  1.285940	     -1.00	   3072.41	   1916.63	      3.04	      2.82	      6.38	      5.93	83.72	 1.425e-02	     -2.80	Gaussian	0.000000	0.000000
9	0	  0.037426	  1.211595	     -1.00	   3210.72	   2099.70	      3.16	      2.80	      6.65	      5.89	84.76	 1.439e-02	     -2.78	Gaussian	0.000000	0.000000
10	0	  0.036384	  1.134634	     -1.00	   3410.95	   2266.02	      3.18	      2.90	      6.69	      6.10	87.82	 1.326e-02	     -2.77	Gaussian	0.000000	0.000000
11	0	  0.040802	  1.187255	     -1.00	    881.03	   1000.66	      3.01	      2.66	      6.33	      5.58	21.15	 1.602e-02	     -2.65	Gaussian	0.000000	0.000000
12	0	  0.024969	  0.958869	     -1.00	   3543.96	      9.28	      3.02	      3.02	      6.35	      6.35	86.31	 6.373e-02	     -2.64	Gaussian	0.000000	0.000000
13	0	  0.039893	  1.168694	     -1.00	    973.62	    902.39	      2.98	      2.59	      6.27	      5.45	21.76	 1.575e-02	     -2.61	Gaussian	0.000000	0.000000
14	0	  0.041314	  1.091104	     -1.00	    186.41	   3043.35	      2.80	      2.80	      5.88	      5.88	72.42	 1.813e-02	     -2.56	Gaussian	0.000000	0.000000
15	0	  0.035279	  1.191291	     -1.00	   2872.66	   2916.87	      2.75	      2.48	      5.78	      5.22	82.10	 1.186e-02	     -2.50	Gaussian	0.000000	0.000000
16	0	  0.034765	  1.127671	     -1.00	   5086.87	   3257.17	      2.65	      2.39	      5.56	      5.03	66.64	 1.180e-02	     -2.39	Gaussian	0.000000	0.000000
17	0	  0.034967	  1.130004	     -1.00	   2059.77	   1580.94	      2.54	      2.39	      5.35	      5.02	68.46	 1.221e-02	     -2.35	Gaussian	0.000000	0.000000
18	0	  0.038052	  0.905612	     -1.00	    279.32	   3784.64	      2.80	      2.60	      5.89	      5.47	12.88	 1.450e-02	     -2.33	Gaussian	0.000000	0.000000
19	0	  0.033191	  1.048053	     -1.00	   3533.75	   2580.97	      2.61	      2.38	      5.49	      4.99	-89.43	 1.001e-02	     -2.32	Gaussian	0.000000	0.000000
20	0	  0.047696	  1.072406	     -1.00	    893.97	   1015.15	      2.57	      2.27	      5.39	      4.78	22.93	 3.313e-02	     -2.27	Gaussian	0.000000	0.000000
21	0	  0.035832	  1.020231	     -1.00	    835.32	   2876.71	      2.46	      2.46	      5.18	      5.18	86.44	 1.258e-02	     -2.26	Gaussian	0.000000	0.000000
22	0	  0.035932	  0.786105	     -1.00	   1208.50	    986.39	      2.01	      1.94	      4.23	      4.07	82.49	 4.499e-02	     -2.23	Gaussian	0.000000	0.000000
23	0	  0.035459	  0.961015	     -1.00	    574.12	    781.92	      2.43	      2.27	      5.11	      4.77	6.65	 1.537e-02	     -2.22	Gaussian	0.000000	0.000000
